date,signal,entry,exit,sharpe,return,forced_exit,px,py
2024-04-01,0,,,,0.0,False,133.08200073242188,206.36050415039062
2024-04-02,0,,,,0.0,False,131.9485321044922,203.809326171875
2024-04-03,0,,,,0.0,False,134.3583526611328,205.0651397705078
2024-04-04,0,,,,0.0,False,129.8531494140625,201.1196746826172
2024-04-05,0,,,,0.0,False,132.0145721435547,205.52989196777344
2024-04-08,0,,,,0.0,False,131.68637084960938,206.70657348632812
2024-04-09,0,,,,0.0,False,131.48728942871094,208.06130981445312
2024-04-10,0,,,,0.0,False,130.3331298828125,206.9142608642578
2024-04-11,0,,,,0.0,False,136.25563049316406,210.60263061523438
2024-04-12,0,1.550000000000001,0.5,5.807812983302618,-0.0,False,132.4718780517578,205.53976440429688
2024-04-15,0,1.600000000000001,0.5,5.8430038534146576,-0.0,False,129.1819610595703,203.38409423828125
2024-04-16,0,0.7500000000000002,0.5,5.691132930225044,0.0,False,130.9925079345703,207.1416778564453
2024-04-17,0,1.2000000000000006,0.5,5.610659512667883,-0.0,False,126.41635131835938,197.6587371826172
2024-04-18,0,1.2000000000000006,0.5,5.610652568857808,-0.0,False,124.08638763427734,192.15090942382812
2024-04-19,0,1.2500000000000007,0.5,5.611587224360228,-0.0,False,118.73654174804688,187.65170288085938
2024-04-22,0,1.3000000000000007,0.5,5.615377496931459,0.0,False,120.68309783935547,187.3451690673828
2024-04-23,0,,,,0.0,False,123.12049102783203,191.08299255371094
2024-04-24,0,,,,0.0,False,123.87251281738281,193.87149047851562
2024-04-25,0,,,,0.0,False,127.578369140625,195.29542541503906
2024-04-26,0,,,,0.0,False,132.4718780517578,201.1097869873047
2024-04-29,0,,,,0.0,False,131.9347381591797,202.9687957763672
2024-04-30,0,,,,0.0,False,128.1549530029297,196.43258666992188
2024-05-01,0,,,,0.0,False,122.49661254882812,191.82461547851562
2024-05-02,0,1.2000000000000006,0.45,6.327579452639063,-0.0,False,122.07378387451172,195.70083618164062
2024-05-03,0,1.0500000000000005,0.45,6.751668547244186,0.0,False,125.97086334228516,201.81185913085938
2024-05-06,1,0.9000000000000004,0.4,6.8437843744931595,-0.002,False,129.1444854736328,206.5286102294922
2024-05-07,1,0.9000000000000004,0.65,6.321893969537896,-0.0002994630844152045,False,128.43487548828125,205.0058135986328
