date,signal,entry,exit,sharpe,return,forced_exit,px,py
2024-03-26,0,,,,0.0,False,190.18414306640625,55.03321838378906
2024-03-27,0,,,,0.0,False,193.86679077148438,55.936195373535156
2024-03-28,0,,,,0.0,False,194.6246795654297,56.276023864746094
2024-04-01,0,,,,0.0,False,193.30320739746094,55.936195373535156
2024-04-02,0,,,,0.0,False,193.22547912597656,55.68375015258789
2024-04-03,0,,,,0.0,False,192.68136596679688,55.47014617919922
2024-04-04,0,,,,0.0,False,191.21533203125,55.03321838378906
2024-04-05,0,,,,0.0,False,192.97454833984375,55.7322998046875
2024-04-08,0,,,,0.0,False,193.981201171875,56.110965728759766
2024-04-09,0,,,,0.0,False,192.6813507080078,55.907066345214844
2024-04-10,0,,,,0.0,False,191.0394287109375,55.28565979003906
2024-04-11,0,,,,0.0,False,191.0003204345703,55.04292297363281
2024-04-12,0,,,,0.0,False,178.64683532714844,54.82931900024414
2024-04-15,0,,,,0.0,False,178.74456787109375,55.31479263305664
2024-04-16,0,,,,0.0,False,176.70193481445312,54.771060943603516
2024-04-17,0,,,,0.0,False,175.99826049804688,55.51869201660156
2024-04-18,0,,,,0.0,False,177.14173889160156,57.033363342285156
2024-04-19,0,,,,0.0,False,181.58860778808594,58.59658432006836
2024-04-22,0,,,,0.0,False,185.11679077148438,59.324798583984375
2024-04-23,0,,,,0.0,False,187.78489685058594,59.16944885253906
2024-04-24,0,,,,0.0,False,188.70359802246094,58.839317321777344
2024-04-25,0,,,,0.0,False,188.98703002929688,58.18878936767578
2024-04-26,0,,,,0.0,False,189.10430908203125,58.16937255859375
2024-04-29,0,,,,0.0,False,188.89906311035156,58.062564849853516
2024-04-30,0,,,,0.0,False,187.39398193359375,57.59650802612305
2024-05-01,0,,,,0.0,False,187.51124572753906,57.79069900512695
2024-05-02,0,,,,0.0,False,187.31578063964844,58.09169387817383
2024-05-03,0,,,,0.0,False,186.1918487548828,58.19849395751953
2024-05-06,0,,,,0.0,False,187.6480712890625,58.44123077392578
2024-05-07,0,,,,0.0,False,187.40374755859375,58.50920104980469
2024-05-08,0,,,,0.0,False,191.21533203125,59.45101547241211
2024-05-09,0,,,,0.0,False,193.02340698242188,59.84162902832031
2024-05-10,0,,,,0.0,False,194.26461791992188,60.43730926513672
2024-05-13,0,,,,0.0,False,194.2255401611328,59.82209777832031
2024-05-14,0,,,,0.0,False,196.9425048828125,60.43730926513672
2024-05-15,0,,,,0.0,False,197.52891540527344,60.876747131347656
2024-05-16,0,,,,0.0,False,197.88075256347656,59.626792907714844
2024-05-17,0,,,,0.0,False,200.14816284179688,59.64632797241211
2024-05-20,0,,,,0.0,False,191.1469268798828,59.275245666503906
2024-05-21,0,,,,0.0,False,194.9976348876953,60.01740264892578
2024-05-22,0,,,,0.0,False,193.81504821777344,59.49984359741211
2024-05-23,0,,,,0.0,False,192.45654296875,58.2791862487793
2024-05-24,0,,,,0.0,False,196.16067504882812,58.7967414855957
2024-05-28,0,,,,0.0,False,194.9780731201172,58.08387756347656
2024-05-29,0,,,,0.0,False,193.6195831298828,57.371009826660156
2024-05-30,0,,,,0.0,False,194.81192016601562,57.820213317871094
2024-05-31,0,,,,0.0,False,198.03713989257812,58.513553619384766
2024-06-03,0,,,,0.0,False,197.24549865722656,57.947166442871094
2024-06-04,0,,,,0.0,False,194.64578247070312,57.32218551635742
2024-06-05,0,,,,0.0,False,192.78884887695312,57.30265808105469
2024-06-06,0,,,,0.0,False,192.44677734375,56.37495422363281
2024-06-07,0,,,,0.0,False,195.4178924560547,56.99016571044922
2024-06-10,0,,,,0.0,False,195.08560180664062,56.57026290893555
2024-06-11,0,,,,0.0,False,189.95457458496094,55.78904342651367
2024-06-12,0,,,,0.0,False,187.188720703125,55.95505142211914
2024-06-13,0,,,,0.0,False,189.27044677734375,55.925750732421875
2024-06-14,0,,,,0.0,False,189.38772583007812,56.052703857421875
2024-06-17,0,,,,0.0,False,190.56053161621094,56.87298583984375
2024-06-18,0,,,,0.0,False,192.53472900390625,57.663970947265625
2024-06-20,0,,,,0.0,False,194.16690063476562,57.57608413696289
2024-06-21,0,,,,0.0,False,191.85061645507812,56.736270904541016
2024-06-24,0,,,,0.0,False,194.3721466064453,57.624908447265625
2024-06-25,0,,,,0.0,False,193.5804901123047,55.857398986816406
2024-06-26,0,,,,0.0,False,192.95498657226562,55.67185592651367
2024-06-27,0,,,,0.0,False,194.65554809570312,56.072227478027344
2024-06-28,0,,,,0.0,False,197.67552185058594,57.995994567871094
2024-07-01,0,,,,0.0,False,200.79322814941406,59.167823791503906
2024-07-02,0,,,,0.0,False,204.09658813476562,59.538909912109375
2024-07-03,0,,,,0.0,False,203.95977783203125,59.23617935180664
2024-07-05,0,,,,0.0,False,201.2572021484375,58.2205924987793
2024-07-08,0,,,,0.0,False,201.6306610107422,57.624908447265625
2024-07-09,0,,,,0.0,False,204.0482177734375,58.4744873046875
2024-07-10,0,,,,0.0,False,204.21530151367188,58.31824493408203
2024-07-11,0,,,,0.0,False,203.87132263183594,58.74791717529297
2024-07-12,0,,,,0.0,False,201.40463256835938,55.212886810302734
2024-07-15,0,,,,0.0,False,206.42648315429688,56.37495422363281
2024-07-16,0,,,,0.0,False,209.93487548828125,58.82604217529297
2024-07-17,0,,,,0.0,False,213.12881469726562,59.480316162109375
2024-07-18,0,,,,0.0,False,206.35768127441406,57.84951400756836
2024-07-19,0,,,,0.0,False,206.1611328125,57.83974838256836
2024-07-22,0,,,,0.0,False,206.6525115966797,57.751861572265625
2024-07-23,0,,,,0.0,False,206.70166015625,58.2694206237793
2024-07-24,0,,,,0.0,False,204.9916534423828,58.04481887817383
2024-07-25,0,,,,0.0,False,205.0702667236328,58.2987174987793
2024-07-26,0,,,,0.0,False,208.57870483398438,58.97251892089844
2024-07-29,0,,,,0.0,False,207.21267700195312,58.19129943847656
2024-07-30,0,,,,0.0,False,211.47781372070312,58.6014404296875
2024-07-31,0,,,,0.0,False,209.12904357910156,57.947166442871094
2024-08-01,0,,,,0.0,False,204.37254333496094,55.5449104309082
2024-08-02,0,,,,0.0,False,195.70468139648438,52.00987243652344
2024-08-05,0,,,,0.0,False,191.53782653808594,50.89663314819336
2024-08-06,0,,,,0.0,False,196.88397216796875,51.13100051879883
2024-08-07,0,,,,0.0,False,196.94293212890625,51.062644958496094
2024-08-08,0,,,,0.0,False,200.539794921875,51.521610260009766
2024-08-09,0,,,,0.0,False,202.2498016357422,51.91520309448242
2024-08-12,0,,,,0.0,False,202.633056640625,51.22641372680664
2024-08-13,0,,,,0.0,False,204.35289001464844,52.02344512939453
2024-08-14,0,,,,0.0,False,206.6132049560547,52.80079650878906
2024-08-15,0,,,,0.0,False,207.90061950683594,53.69622039794922
2024-08-16,0,,,,0.0,False,210.27886962890625,54.44405746459961
2024-08-19,0,,,,0.0,False,211.7333221435547,55.546119689941406
2024-08-20,0,,,,0.0,False,210.81936645507812,55.25092315673828
2024-08-21,0,,,,0.0,False,210.8979949951172,54.57197189331055
2024-08-22,0,,,,0.0,False,212.89295959472656,55.06396484375
