date,signal,entry,exit,sharpe,return,forced_exit,px,py
2024-04-03,0,,,,0.0,False,247.4587860107422,18.280000686645508
2024-04-04,0,,,,0.0,False,245.780029296875,17.420000076293945
2024-04-05,0,,,,0.0,False,250.75704956054688,17.84000015258789
2024-04-08,0,,,,0.0,False,251.49766540527344,17.829999923706055
2024-04-09,0,,,,0.0,False,251.7544403076172,18.510000228881836
2024-04-10,0,,,,0.0,False,251.1717987060547,18.399999618530273
2024-04-11,0,1.9500000000000013,0.4,5.130263323124702,0.0,False,255.3192901611328,19.520000457763672
2024-04-12,0,2.0500000000000016,0.45,5.0343799447111195,-0.0,False,247.9228973388672,18.760000228881836
2024-04-15,0,2.2000000000000015,0.55,5.239757616049039,-0.0,False,245.3060302734375,17.979999542236328
2024-04-16,0,1.8500000000000012,0.6000000000000001,5.120094958953133,-0.0,False,242.55087280273438,18.270000457763672
2024-04-17,0,1.8500000000000012,0.4,5.1340464447963905,-0.0,False,235.48037719726562,17.309999465942383
2024-04-18,0,1.8000000000000012,0.75,5.4087480339060265,-0.0,False,233.34735107421875,16.709999084472656
2024-04-19,1,1.750000000000001,0.7000000000000001,5.118110552072114,-0.002,False,233.05108642578125,16.149999618530273
2024-04-22,1,2.2500000000000018,0.7000000000000001,3.8987401566603554,0.0023258342442837115,False,234.4434814453125,16.729999542236328
2024-04-23,1,1.550000000000001,0.1,4.510941336631886,0.007776314439930524,False,236.69497680664062,16.920000076293945
2024-04-24,1,1.5000000000000009,0.1,4.427158876614132,0.019576706299049184,False,241.0103759765625,16.34000015258789
2024-04-25,1,2.0000000000000013,0.7000000000000001,4.725999167117713,-0.006756780073203957,False,238.9168701171875,16.06999969482422
2024-04-26,0,2.0000000000000013,0.65,4.846014344984328,-0.007621244852366988,False,237.8306121826172,16.3700008392334
2024-04-29,0,,,,0.0,False,237.48500061035156,16.299999237060547
2024-04-30,0,,,,0.0,False,233.17947387695312,15.640000343322754
2024-05-01,0,,,,0.0,False,230.93783569335938,15.859999656677246
2024-05-02,0,,,,0.0,False,232.61659240722656,16.84000015258789
2024-05-03,0,,,,0.0,False,231.65870666503906,17.200000762939453
2024-05-06,0,,,,0.0,False,233.86085510253906,17.520000457763672
2024-05-07,0,,,,0.0,False,233.04122924804688,16.600000381469727
2024-05-08,0,,,,0.0,False,232.40924072265625,17.780000686645508
2024-05-09,0,,,,0.0,False,234.57183837890625,17.239999771118164
2024-05-10,0,,,,0.0,False,237.45535278320312,17.18000030517578
2024-05-13,0,,,,0.0,False,234.5323486328125,17.079999923706055
2024-05-14,0,,,,0.0,False,232.92269897460938,17.040000915527344
2024-05-15,0,,,,0.0,False,233.05108642578125,17.079999923706055
2024-05-16,0,,,,0.0,False,235.97410583496094,16.950000762939453
2024-05-17,0,,,,0.0,False,234.7594757080078,16.6200008392334
2024-05-20,0,,,,0.0,False,237.3269805908203,16.06999969482422
2024-05-21,0,,,,0.0,False,235.30259704589844,16.010000228881836
2024-05-22,0,,,,0.0,False,233.2091064453125,16.110000610351562
2024-05-23,0,,,,0.0,False,229.77328491210938,15.430000305175781
2024-05-24,0,,,,0.0,False,234.25863647460938,15.640000343322754
2024-05-28,0,,,,0.0,False,231.83279418945312,15.680000305175781
2024-05-29,0,,,,0.0,False,226.20877075195312,15.920000076293945
2024-05-30,0,1.3000000000000007,1.0,5.065084752541359,0.0,False,226.70384216308594,15.760000228881836
2024-05-31,1,1.2500000000000007,0.9,5.54730727480555,-0.002,False,228.8920440673828,15.609999656677246
2024-06-03,0,,,,-0.014096024051314753,True,226.1295623779297,15.800000190734863
2024-06-04,0,,,,0.0,False,228.23854064941406,15.270000457763672
2024-06-05,0,1.4000000000000008,0.7000000000000001,6.203286525158406,0.0,False,230.47628784179688,15.529999732971191
2024-06-06,0,1.4000000000000008,0.7000000000000001,6.197795312969076,-0.0,False,229.74356079101562,15.6899995803833
2024-06-07,0,,,,0.0,False,228.82275390625,15.600000381469727
2024-06-10,0,,,,0.0,False,230.4663848876953,15.079999923706055
2024-06-11,0,,,,0.0,False,230.34756469726562,14.609999656677246
2024-06-12,0,1.1000000000000005,0.7000000000000001,6.222412635100865,-0.0,False,234.2289276123047,15.539999961853027
2024-06-13,0,1.5000000000000009,0.7000000000000001,5.833925312483834,0.0,False,238.10040283203125,14.479999542236328
2024-06-14,0,1.4500000000000008,0.7000000000000001,5.850179058567223,0.0,False,237.09046936035156,14.170000076293945
2024-06-17,0,,,,0.0,False,242.28872680664062,14.079999923706055
2024-06-18,0,,,,0.0,False,240.6549835205078,13.779999732971191
2024-06-20,0,,,,0.0,False,241.57582092285156,13.75
2024-06-21,0,,,,0.0,False,241.1302490234375,13.449999809265137
2024-06-24,0,,,,0.0,False,243.23927307128906,13.579999923706055
2024-06-25,0,,,,0.0,False,242.41744995117188,13.470000267028809
2024-06-26,0,,,,0.0,False,239.13015747070312,13.329999923706055
2024-06-27,0,,,,0.0,False,239.8628692626953,13.390000343322754
2024-06-28,0,,,,0.0,False,239.38758850097656,14.100000381469727
2024-07-01,0,,,,0.0,False,237.14987182617188,13.970000267028809
2024-07-02,0,,,,0.0,False,237.61521911621094,13.399999618530273
2024-07-03,0,,,,0.0,False,237.80335998535156,13.390000343322754
2024-07-05,0,,,,0.0,False,238.60537719726562,13.329999923706055
2024-07-08,0,,,,0.0,False,237.49642944335938,13.479999542236328
2024-07-09,0,,,,0.0,False,235.17947387695312,13.430000305175781
2024-07-10,0,,,,0.0,False,240.13021850585938,12.930000305175781
2024-07-11,0,,,,0.0,False,237.41720581054688,13.529999732971191
2024-07-12,0,0.8000000000000003,0.35000000000000003,6.157902329364441,0.0,False,240.39755249023438,13.109999656677246
2024-07-15,0,0.8000000000000003,0.5,5.885023065471774,0.0,False,244.2393035888672,13.079999923706055
2024-07-16,0,0.8000000000000003,0.5,5.782289510822979,0.0,False,252.59616088867188,13.380000114440918
2024-07-17,-1,0.8500000000000003,0.8,5.868284482983233,-0.002,False,245.1106414794922,12.729999542236328
2024-07-18,0,,,,0.012869603186517389,True,241.68472290039062,12.430000305175781
2024-07-19,0,,,,0.0,False,241.5065155029297,12.34000015258789
2024-07-22,0,,,,0.0,False,240.54608154296875,12.479999542236328
2024-07-23,0,,,,0.0,False,239.92227172851562,12.59000015258789
2024-07-24,0,,,,0.0,False,232.72390747070312,12.380000114440918
2024-07-25,0,1.0500000000000005,0.4,5.632097259969136,-0.0,False,231.44662475585938,12.210000038146973
2024-07-26,0,,,,0.0,False,234.2685546875,12.229999542236328
2024-07-29,0,,,,0.0,False,236.1002960205078,12.100000381469727
2024-07-30,0,,,,0.0,False,236.4171600341797,11.9399995803833
2024-07-31,0,,,,0.0,False,225.06019592285156,12.050000190734863
2024-08-01,0,,,,0.0,False,216.62413024902344,11.420000076293945
2024-08-02,0,,,,0.0,False,211.5644989013672,10.920000076293945
2024-08-05,0,,,,0.0,False,209.26736450195312,10.569999694824219
2024-08-06,0,,,,0.0,False,213.12892150878906,10.970000267028809
2024-08-07,0,,,,0.0,False,212.65367126464844,9.079999923706055
2024-08-08,0,,,,0.0,False,213.67349243164062,10.069999694824219
2024-08-09,0,,,,0.0,False,215.8221435546875,9.760000228881836
2024-08-12,0,,,,0.0,False,212.5645294189453,9.710000038146973
2024-08-13,0,,,,0.0,False,214.2972869873047,10.0600004196167
2024-08-14,0,,,,0.0,False,214.960693359375,10.079999923706055
2024-08-15,0,,,,0.0,False,219.71340942382812,10.8100004196167
2024-08-16,0,,,,0.0,False,219.00839233398438,11.199999809265137
2024-08-19,0,,,,0.0,False,223.5660858154297,11.600000381469727
2024-08-20,0,,,,0.0,False,221.56031799316406,11.289999961853027
2024-08-21,0,,,,0.0,False,222.9305877685547,11.6899995803833
2024-08-22,0,,,,0.0,False,222.54335021972656,11.470000267028809
2024-08-23,0,,,,0.0,False,223.67530822753906,11.680000305175781
2024-08-26,0,,,,0.0,False,223.08946228027344,11.779999732971191
2024-08-27,0,,,,0.0,False,226.0187225341797,11.619999885559082
2024-08-28,0,,,,0.0,False,225.72084045410156,11.460000038146973
2024-08-29,0,,,,0.0,False,229.74234008789062,11.550000190734863
2024-08-30,0,,,,0.0,False,233.03897094726562,11.670000076293945
2024-09-03,0,,,,0.0,False,229.09690856933594,11.350000381469727
2024-09-04,0,,,,0.0,False,227.8457794189453,11.34000015258789
2024-09-05,0,,,,0.0,False,227.44857788085938,11.25
2024-09-06,0,,,,0.0,False,225.99887084960938,11.0600004196167
2024-09-09,0,,,,0.0,False,226.9818878173828,10.800000190734863
2024-09-10,0,,,,0.0,False,224.0824432373047,11.270000457763672
2024-09-11,0,,,,0.0,False,225.7307586669922,11.949999809265137
2024-09-12,0,0.8500000000000003,0.8500000000000001,4.894210785831123,0.0,False,229.07704162597656,11.619999885559082
2024-09-13,0,1.3500000000000008,0.9500000000000001,4.39546489260512,0.0,False,230.1097412109375,11.350000381469727
2024-09-16,0,1.3000000000000007,1.0,4.569268423144571,-0.0,False,230.82467651367188,11.680000305175781
2024-09-17,0,,,,0.0,False,233.9525146484375,12.25
2024-09-18,0,2.1000000000000014,0.05,3.648784146354936,0.0,False,237.0605010986328,12.170000076293945
2024-09-19,0,2.1000000000000014,0.1,3.642134480617235,0.0,False,242.74026489257812,12.529999732971191
2024-09-20,0,,,,0.0,False,242.67074584960938,12.470000267028809
2024-09-23,0,,,,0.0,False,239.96987915039062,12.720000267028809
