date,signal,entry,exit,sharpe,return,forced_exit,px,py
2024-04-15,0,,,,0.0,False,21.670000076293945,270.8828430175781
2024-04-16,0,,,,0.0,False,21.729999542236328,275.35955810546875
2024-04-17,0,,,,0.0,False,21.56999969482422,274.277587890625
2024-04-18,0,,,,0.0,False,21.540000915527344,269.91009521484375
2024-04-19,0,,,,0.0,False,21.610000610351562,268.37152099609375
2024-04-22,0,,,,0.0,False,22.170000076293945,271.7861022949219
2024-04-23,0,,,,0.0,False,22.84000015258789,274.63494873046875
2024-04-24,0,,,,0.0,False,23.34000015258789,274.1485595703125
2024-04-25,0,,,,0.0,False,22.809999465942383,271.12109375
2024-04-26,0,,,,0.0,False,23.209999084472656,272.2625732421875
2024-04-29,0,,,,0.0,False,23.170000076293945,273.70184326171875
2024-04-30,0,,,,0.0,False,22.440000534057617,266.9521179199219
2024-05-01,0,,,,0.0,False,22.780000686645508,266.7039794921875
2024-05-02,0,,,,0.0,False,23.110000610351562,270.1185302734375
2024-05-03,0,,,,0.0,False,23.43000030517578,271.6372375488281
2024-05-06,0,,,,0.0,False,23.530000686645508,273.5926818847656
2024-05-07,0,,,,0.0,False,24.020000457763672,275.1312255859375
2024-05-08,0,,,,0.0,False,22.579999923706055,276.9079895019531
2024-05-09,0,,,,0.0,False,22.469999313354492,273.1361083984375
2024-05-10,0,,,,0.0,False,22.489999771118164,274.625
2024-05-13,0,,,,0.0,False,22.739999771118164,275.4687194824219
2024-05-14,0,,,,0.0,False,22.81999969482422,274.7540283203125
2024-05-15,0,,,,0.0,False,23.290000915527344,285.4146728515625
2024-05-16,0,,,,0.0,False,22.825000762939453,282.57574462890625
2024-05-17,0,,,,0.0,False,24.020000457763672,283.4989013671875
2024-05-20,0,,,,0.0,False,23.579999923706055,284.9481201171875
2024-05-21,0,,,,0.0,False,23.079999923706055,281.66259765625
2024-05-22,0,,,,0.0,False,23.079999923706055,281.72216796875
2024-05-23,0,,,,0.0,False,22.719999313354492,276.510986328125
2024-05-24,0,,,,0.0,False,23.75,270.2773742675781
2024-05-28,0,,,,0.0,False,23.65999984741211,267.8355407714844
2024-05-29,0,,,,0.0,False,23.579999923706055,269.6123046875
2024-05-30,0,,,,0.0,False,23.280000686645508,216.39859008789062
2024-05-31,0,,,,0.0,False,21.899999618530273,232.70713806152344
2024-06-03,0,0.6000000000000001,0.45,3.940956986531833,-0.0,False,21.079999923706055,234.87103271484375
2024-06-04,1,0.6000000000000001,0.45,4.054927688380115,-0.002,False,21.100000381469727,233.1240234375
2024-06-05,1,0.7000000000000002,0.65,4.035659584420073,0.02104783804849776,False,21.56999969482422,234.7816925048828
2024-06-06,0,,,,-0.012485299973914414,True,21.350000381469727,240.96563720703125
2024-06-07,0,,,,0.0,False,21.1200008392334,240.0623779296875
2024-06-10,1,0.55,0.30000000000000004,5.907932407742674,-0.002,False,21.139999389648438,240.0524444580078
2024-06-11,0,,,,0.012731770176646302,True,21.479999542236328,239.208740234375
2024-06-12,0,,,,0.0,False,21.65999984741211,234.05709838867188
2024-06-13,0,,,,0.0,False,21.549999237060547,227.3371124267578
2024-06-14,0,,,,0.0,False,21.219999313354492,230.22561645507812
