Ticker_X,Ticker_Y,Best_Window,Sharpe,Return,Num_Trades
GLD,IAU,78,-0.3287,-24.6815,38
GLD,SGOL,87,-0.026,-42.1584,41
GLD,PHYS,75,-0.1743,-24.9219,17
GLD,GLDM,110,-0.8399,-20.9712,9
GLD,GDX,97,1.1293,41.6934,9
GLD,GDXJ,80,-1.8326,-53.1192,12
GLD,NEM,80,1.4938,32.714,9
GLD,AEM,82,-1.1471,-16.8466,14
GLD,GOLD,67,0.2154,-7.5794,12
GLD,FNV,150,-0.3371,-6.4815,12
IAU,PHYS,72,0.3193,2.7417,16
IAU,GDX,97,0.6566,2.3428,10
IAU,GDXJ,75,0.3016,1.3272,6
IAU,NEM,60,-0.0854,-0.2564,12
IAU,AEM,93,0.4861,2.8358,24
IAU,GOLD,67,0.1939,1.7994,16
SGOL,GLDM,63,1.146,8.7998,29
SGOL,NEM,60,-0.5271,-1.7505,12
SGOL,AEM,93,-0.3943,-2.7099,22
SGOL,FNV,87,-0.4404,-4.5623,25
PHYS,GLDM,70,-0.2261,-1.347,15
PHYS,GDX,88,0.273,1.3654,22
PHYS,GDXJ,65,-2.3021,-7.5735,12
PHYS,NEM,60,-0.1809,-0.6223,12
PHYS,AEM,97,1.3228,9.3089,16
PHYS,GOLD,85,0.1775,0.8757,14
PHYS,FNV,72,-0.7794,-5.4479,20
PHYS,WPM,72,0.8721,4.1447,18
GLDM,GDX,113,1.3587,3.4484,12
GLDM,NEM,60,-0.0089,-0.0503,12
GLDM,AEM,75,-0.1504,-1.2142,19
GLDM,GOLD,68,0.691,8.294,10
GDXJ,FNV,70,-0.0254,-1.0656,22
NEM,AEM,95,-0.0588,-1.0426,10
