Ticker_X,Ticker_Y,Best_Window,Sharpe,Return,Num_Trades
LOW,COST,55,-0.4672,-3.0931,16
LOW,LULU,60,0.6832,4.6342,17
LOW,HLT,68,-0.0932,-0.3367,16
TGT,COST,95,0.0203,0.0124,12
TGT,WMT,70,-0.9865,-6.2133,11
TGT,BBY,63,-1.3267,-18.9989,20
TGT,DG,113,1.638,8.8303,14
TGT,TJX,62,-1.8661,-8.3345,10
TGT,MAR,65,-1.6916,-14.2534,15
TGT,LYFT,65,-1.1807,-9.0496,12
TGT,EBAY,58,0.0936,0.3888,12
COST,ROST,75,-0.3427,-0.6872,8
COST,TJX,175,-1.8189,-4.4704,20
COST,HLT,65,0.2203,0.721,6
WMT,LYFT,70,-1.4744,-8.9014,14
WMT,EBAY,88,1.6526,12.2521,11
BBY,DG,72,-1.2666,-4.6913,8
BBY,ROST,83,0.4732,2.7312,14
BBY,LULU,80,-0.8173,-6.1046,22
BBY,HLT,57,-1.1315,-5.5792,20
BBY,LYFT,58,-1.5313,-6.3104,10
DG,TJX,55,0.3099,1.3325,12
DG,LULU,95,-1.7038,-3.8673,6
DG,MAR,135,1.1305,1.5924,2
DG,LYFT,67,0.8126,5.5514,19
DG,EBAY,187,0.1159,0.4586,23
ROST,ULTA,60,-1.2626,-7.4708,7
ULTA,HLT,57,-1.1672,-9.7521,14
ULTA,MAR,67,0.1161,0.5654,14
ULTA,UBER,128,-2.1758,-15.9034,16
ULTA,EBAY,57,-0.1471,-0.4932,9
LULU,LYFT,88,-0.9366,-12.0961,14
HLT,MAR,65,-1.1548,-4.2257,14
MAR,UBER,80,0.6588,4.3031,12
MAR,LYFT,62,-0.9387,-3.7909,16
UBER,EBAY,100,0.6802,1.4834,6
LYFT,EBAY,77,-1.4072,-3.519,13
