Ticker_X,Ticker_Y,Best_Window,Sharpe,Return,Num_Trades
V,AXP,73,-0.2487,-1.3347,11
MA,PYPL,62,0.3998,1.9425,18
PYPL,AXP,67,-0.1508,-0.2628,9
