Ticker_X,Ticker_Y,Best_Window,Sharpe,Return,Num_Trades
AAPL,CRM,163,1.5326,3.357,8
AAPL,ORCL,60,0.7961,3.5958,8
AAPL,DDOG,102,0.5576,0.3232,2
AAPL,NVDA,85,0.1016,0.3667,8
GOOGL,AMZN,127,1.1194,3.9371,14
GOOGL,CRM,78,0.1026,0.4724,20
GOOGL,DDOG,70,0.9469,5.3462,17
MSFT,DDOG,112,-0.6145,-1.7272,10
MSFT,TSLA,77,0.7834,5.8286,8
AMZN,CRM,55,0.2297,0.5686,12
AMZN,ORCL,77,-1.5523,-15.1823,16
AMZN,DDOG,68,-0.4188,-1.3254,14
AMZN,PLTR,58,-1.7064,-12.9782,20
AMZN,TSLA,60,0.6075,4.7415,10
CRM,DDOG,68,-0.2025,-0.8671,10
ORCL,SNOW,55,-1.8617,-10.5453,14
DDOG,NVDA,62,0.9781,8.0333,10
DDOG,TSLA,90,1.2878,5.6512,6
