date,signal,entry,exit,sharpe,return,forced_exit,px,py
2024-05-13,0,,,,0.0,False,117.91058349609375,18.282243728637695
2024-05-14,0,,,,0.0,False,117.37724304199219,18.53046226501465
2024-05-15,0,,,,0.0,False,117.04753112792969,18.654571533203125
2024-05-16,0,,,,0.0,False,116.20386505126953,18.71185302734375
2024-05-17,0,,,,0.0,False,118.02696990966797,18.807323455810547
2024-05-20,0,,,,0.0,False,117.23178100585938,18.940977096557617
2024-05-21,0,,,,0.0,False,116.76630401611328,18.845508575439453
2024-05-22,0,,,,0.0,False,114.61348724365234,18.51136589050293
2024-05-23,0,,,,0.0,False,114.08982849121094,18.21541404724121
2024-05-24,0,,,,0.0,False,113.7019271850586,18.205867767333984
2024-05-28,0,,,,0.0,False,115.36019134521484,18.205867767333984
2024-05-29,0,,,,0.0,False,111.762451171875,18.053119659423828
2024-05-30,0,,,,0.0,False,110.14299011230469,18.139039993286133
2024-05-31,0,,,,0.0,False,112.95523071289062,18.606836318969727
2024-06-03,0,,,,0.0,False,110.42420959472656,18.616384506225586
2024-06-04,0,,,,0.0,False,108.87263488769531,18.769132614135742
2024-06-05,0,,,,0.0,False,108.8338394165039,18.89324188232422
2024-06-06,0,,,,0.0,False,108.80474853515625,18.912334442138672
2024-06-07,0,,,,0.0,False,108.61079406738281,18.730947494506836
2024-06-10,0,,,,0.0,False,109.8714599609375,18.902788162231445
2024-06-11,0,,,,0.0,False,110.19147491455078,18.89324188232422
2024-06-12,0,,,,0.0,False,108.7950439453125,18.979164123535156
2024-06-13,0,,,,0.0,False,107.53438568115234,18.864601135253906
2024-06-14,0,,,,0.0,False,106.07977294921875,18.702306747436523
2024-06-17,0,,,,0.0,False,106.2252426147461,18.778682708740234
2024-06-18,0,,,,0.0,False,106.09917449951172,18.845508575439453
2024-06-20,0,,,,0.0,False,107.96107482910156,18.902788162231445
2024-06-21,0,,,,0.0,False,107.97077178955078,18.816869735717773
2024-06-24,0,,,,0.0,False,111.68486785888672,19.19874382019043
2024-06-25,0,,,,0.0,False,111.51032257080078,19.18919563293457
2024-06-26,0,,,,0.0,False,110.17208099365234,18.845508575439453
2024-06-27,0,,,,0.0,False,110.52117919921875,18.864601135253906
2024-06-28,0,,,,0.0,False,110.91877746582031,18.969615936279297
2024-07-01,0,,,,0.0,False,110.8993911743164,18.89324188232422
2024-07-02,0,,,,0.0,False,110.66665649414062,18.826414108276367
2024-07-03,0,,,,0.0,False,111.29698181152344,19.055538177490234
2024-07-05,0,,,,0.0,False,109.14415740966797,18.988710403442383
2024-07-08,0,,,,0.0,False,108.8338394165039,19.00780487060547
2024-07-09,0,,,,0.0,False,107.82530975341797,19.084178924560547
2024-07-10,0,,,,0.0,False,109.124755859375,19.18919563293457
